product_id,name,description,revenue_2024
1,NovaPay,Payment Gateway SaaS,12000000
2,Insight360,Analytics Dashboard,8700000
3,FlowTrack,Workflow Automation,5400000
4,CloudPulse,Cloud Monitoring,3300000
5,SecureID,Identity & Access,2100000
6,MarketSense,Market Intelligence,1500000
7,HelpDeskPro,Customer Support SaaS,980000
8,EdgeCompute,Edge Compute Platform,760000
9,AutoDocs,Automated Document Processing,640000
10,PayBridge,Payment Reconciliation,420000
11,Product11,Product 11 description,435243
12,Product12,Product 12 description,158369
13,Product13,Product 13 description,113112
14,Product14,Product 14 description,488786
15,Product15,Product 15 description,244194
16,Product16,Product 16 description,228393
17,Product17,Product 17 description,217026
18,Product18,Product 18 description,173158
19,Product19,Product 19 description,486123
20,Product20,Product 20 description,153736
